candidate,input_scenario,alpha,clinical_covariance_model,method,target_joint_success_probability,N_continuous,N,achieved_joint_success_probability,allocation_A,allocation_B,allocation_AB,marginal_power_AB_minus_A,marginal_power_AB_minus_B,reason,case_role,component_a,component_b,combination,delta_ab_minus_a,delta_ab_minus_b,valid_design_input
BYL719 + binimetinib,plug_in,0.025,independent_arms,equal allocation,0.800,179.596,180,0.801,0.333,0.333,0.333,0.843,0.922,,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.542,0.616,True
BYL719 + binimetinib,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.800,174.634,175,0.801,0.332,0.268,0.400,0.862,0.905,,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.542,0.616,True
BYL719 + binimetinib,bootstrap_lower_95_effects,0.025,independent_arms,equal allocation,0.800,768.822,769,0.800,0.333,0.333,0.333,0.811,0.972,,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.251,0.342,True
BYL719 + binimetinib,bootstrap_lower_95_effects,0.025,independent_arms,joint-decision optimized allocation,0.800,712.478,713,0.800,0.370,0.221,0.409,0.839,0.933,,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.251,0.342,True
BYL719 + LEE011,plug_in,0.025,independent_arms,equal allocation,0.800,73.916,75,0.807,0.333,0.333,0.333,0.848,0.924,,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.845,0.960,True
BYL719 + LEE011,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.800,71.891,72,0.801,0.332,0.269,0.400,0.865,0.902,,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.845,0.960,True
BYL719 + LEE011,bootstrap_lower_95_effects,0.025,independent_arms,equal allocation,0.800,182.507,183,0.801,0.333,0.333,0.333,0.876,0.883,,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.564,0.571,True
BYL719 + LEE011,bootstrap_lower_95_effects,0.025,independent_arms,joint-decision optimized allocation,0.800,179.284,180,0.802,0.304,0.298,0.397,0.881,0.885,,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.564,0.571,True
LEE011 + encorafenib,plug_in,0.025,independent_arms,equal allocation,0.800,89.144,90,0.804,0.333,0.333,0.333,0.823,0.957,,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.745,0.950,True
LEE011 + encorafenib,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.800,84.453,85,0.803,0.357,0.239,0.405,0.850,0.924,,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.745,0.950,True
LEE011 + encorafenib,bootstrap_lower_95_effects,0.025,independent_arms,equal allocation,0.800,227.977,228,0.800,0.333,0.333,0.333,0.802,0.993,,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.456,0.716,True
LEE011 + encorafenib,bootstrap_lower_95_effects,0.025,independent_arms,joint-decision optimized allocation,0.800,199.340,200,0.802,0.395,0.185,0.419,0.828,0.953,,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.456,0.716,True
BKM120 + binimetinib,plug_in,0.025,independent_arms,equal allocation,0.800,1402.570,1404,0.800,0.333,0.333,0.333,1.000,0.800,,cautionary_sensitivity_case,BKM120,binimetinib,BKM120 + binimetinib,0.524,0.183,True
BKM120 + binimetinib,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.800,1041.350,1042,0.800,0.100,0.450,0.450,0.998,0.801,,cautionary_sensitivity_case,BKM120,binimetinib,BKM120 + binimetinib,0.524,0.183,True
BKM120 + binimetinib,bootstrap_lower_95_effects,0.025,independent_arms,no finite design under selected lower-bound effects,0.800,,,,,,,,,At least one selected contribution-effect input is not positive.,cautionary_sensitivity_case,BKM120,binimetinib,BKM120 + binimetinib,0.284,-0.065,False
