scenario_label,scenario_family,method_id,claim_regime,allocation_strategy,alpha,N,nrep,truth_delta_AB_minus_A,truth_delta_AB_minus_B,margin_AB_minus_A,margin_AB_minus_B,empirical_false_full_contribution,empirical_false_full_contribution_lcl,empirical_false_full_contribution_ucl,analytic_false_full_contribution,empirical_any_true_reject,empirical_any_true_reject_lcl,empirical_any_true_reject_ucl,analytic_any_true_reject
global_null,global_null,equal_iut_full,full_contribution,equal,0.025,240,50000,0,0,0,0,0.005,0.005,0.006,0.005,0.047,0.045,0.049,0.045
global_null,global_null,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,240,50000,0,0,0,0,0.004,0.003,0.004,0.003,0.049,0.047,0.051,0.047
global_null,global_null,plugin_iut_full,full_contribution,plugin_joint_success,0.025,240,50000,0,0,0,0,0.005,0.004,0.005,0.005,0.046,0.045,0.048,0.045
global_null,global_null,conservative_iut_full,full_contribution,conservative_joint_success,0.025,240,50000,0,0,0,0,0.005,0.004,0.005,0.005,0.047,0.045,0.049,0.045
global_null,global_null,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,240,50000,0,0,0,0,0.005,0.004,0.005,0.005,0.046,0.044,0.048,0.045
global_null,global_null,equal_maxT_separate,separate_component_claims,equal,0.025,240,50000,0,0,0,0,0.002,0.002,0.002,0.002,0.025,0.023,0.026,0.025
partial_null_AB_minus_A,partial_null,equal_iut_full,full_contribution,equal,0.025,240,50000,0,0.45,0,0,0.025,0.023,0.026,0.025,0.025,0.024,0.026,0.025
partial_null_AB_minus_A,partial_null,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,240,50000,0,0.45,0,0,0.025,0.024,0.026,0.024,0.025,0.024,0.027,0.025
partial_null_AB_minus_A,partial_null,plugin_iut_full,full_contribution,plugin_joint_success,0.025,240,50000,0,0.45,0,0,0.025,0.024,0.026,0.025,0.025,0.024,0.027,0.025
partial_null_AB_minus_A,partial_null,conservative_iut_full,full_contribution,conservative_joint_success,0.025,240,50000,0,0.45,0,0,0.025,0.024,0.026,0.025,0.025,0.024,0.027,0.025
partial_null_AB_minus_A,partial_null,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,240,50000,0,0.45,0,0,0.025,0.024,0.026,0.025,0.025,0.024,0.027,0.025
partial_null_AB_minus_A,partial_null,equal_maxT_separate,separate_component_claims,equal,0.025,240,50000,0,0.45,0,0,0.015,0.014,0.016,0.013,0.015,0.014,0.016,0.013
partial_null_AB_minus_B,partial_null,equal_iut_full,full_contribution,equal,0.025,240,50000,0.45,0,0,0,0.024,0.023,0.026,0.025,0.025,0.023,0.026,0.025
partial_null_AB_minus_B,partial_null,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,240,50000,0.45,0,0,0,0.026,0.024,0.027,0.024,0.026,0.025,0.028,0.025
partial_null_AB_minus_B,partial_null,plugin_iut_full,full_contribution,plugin_joint_success,0.025,240,50000,0.45,0,0,0,0.026,0.024,0.027,0.025,0.026,0.025,0.027,0.025
partial_null_AB_minus_B,partial_null,conservative_iut_full,full_contribution,conservative_joint_success,0.025,240,50000,0.45,0,0,0,0.024,0.023,0.026,0.025,0.025,0.023,0.026,0.025
partial_null_AB_minus_B,partial_null,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,240,50000,0.45,0,0,0,0.027,0.025,0.028,0.025,0.027,0.025,0.028,0.025
partial_null_AB_minus_B,partial_null,equal_maxT_separate,separate_component_claims,equal,0.025,240,50000,0.45,0,0,0,0.014,0.013,0.015,0.013,0.014,0.013,0.015,0.013
heavy_tail_global_null,distribution_sensitivity,equal_iut_full,full_contribution,equal,0.025,300,50000,0,0,0,0,0.005,0.004,0.005,0.005,0.046,0.044,0.048,0.045
heavy_tail_global_null,distribution_sensitivity,shared_arm_iut_full,full_contribution,shared_arm_benchmark,0.025,300,50000,0,0,0,0,0.004,0.003,0.004,0.004,0.048,0.046,0.05,0.046
heavy_tail_global_null,distribution_sensitivity,plugin_iut_full,full_contribution,plugin_joint_success,0.025,300,50000,0,0,0,0,0.005,0.004,0.005,0.005,0.045,0.043,0.047,0.045
heavy_tail_global_null,distribution_sensitivity,conservative_iut_full,full_contribution,conservative_joint_success,0.025,300,50000,0,0,0,0,0.005,0.004,0.006,0.005,0.046,0.044,0.048,0.045
heavy_tail_global_null,distribution_sensitivity,marginal_iut_full,full_contribution,marginal_power_comparator,0.025,300,50000,0,0,0,0,0.005,0.004,0.006,0.005,0.046,0.044,0.048,0.045
heavy_tail_global_null,distribution_sensitivity,equal_maxT_separate,separate_component_claims,equal,0.025,300,50000,0,0,0,0,0.002,0.002,0.003,0.002,0.027,0.025,0.028,0.025
